transition_id,coname,classification,appt_date,succ_total,pred_total,roa_pre,roa_post,at_pre,tsr_mktadj,tsr_post_mktadj,tsr_pre_mktadj,sic2,year,ext,log_succ,log_pred,log_assets,log_ratio,roa_chg,ind
900001,CONTINENTAL AIRLINES INC,internal,2010-01-01,,,,,,,,,,2010,0,,,,,,<NA>
1323,FMC CORP,external,2010-01-01,9762101.0,6159592.0,0.0442232539496977,0.097123907914036,2993900000.0,1.2738424084175226,0.8476140123729579,0.2820603262679109,28.0,2010,1,16.094018201616233,15.633521099549917,21.81984272225245,0.4604971020663164,0.052900653964338296,28
4158,DIRECTV,external,2010-01-01,32932618.0,6070610.0,0.0877320273293427,0.0919644476691456,16539000000.0,,,,48.0,2010,1,17.309974153166316,15.618969652220411,23.52898706522207,1.6910045009459054,0.004232420339802909,48
1184,DUN & BRADSTREET CORP,internal,2010-01-01,,,,,,,,,,2010,0,,,,,,<NA>
8488,INTUITIVE SURGICAL INC,internal,2010-01-01,5050593.0,4180542.0,0.0980161722581485,0.1128916394982593,1474624000.0,0.5282117658469397,0.3293558771903564,0.1661131713219057,38.0,2010,0,15.435016220100254,15.245951461166921,21.11166887898754,0.18906475893333347,0.014875467240110796,38
6505,TRANSOCEAN LTD,internal,2010-03-01,,,,,,,,,,2010,0,,,,,,<NA>
3370,STATE STREET CORP,internal,2010-03-01,16187964.0,7994758.0,0.0072625280047917,-0.0117192610822092,173631000000.0,,,,60.0,2010,0,16.599778561105886,15.894296634874005,25.880198194659254,0.7054819262318826,-0.0189817890870009,60
1379,REGIONS FINANCIAL CORP,internal,2010-03-31,6381475.0,9668729.0,0.0085539631311197,-0.0077898920295275,146248000000.0,,,,60.0,2010,0,15.668909819822971,16.084407421355454,25.708569647751194,-0.41549760153248255,-0.0163438551606472,60
1593,GOODYEAR TIRE & RUBBER CO,internal,2010-04-13,12223070.0,,,-0.0239923224568138,,-0.7108750971822966,-0.4302531094160703,-0.3602471082966419,30.0,2010,0,16.31883570765129,,,,,30
1294,EQT CORP,internal,2010-04-21,,,,,5329662000.0,-0.0497451652718925,0.3146043519172099,-0.2013699823825232,13.0,2010,0,,,22.396553658479224,,,13
3553,ANDEAVOR,external,2010-05-01,8810598.0,,,-0.0173482032218091,,1.0564952563679948,2.6338647866053684,-0.3108866188007588,29.0,2010,1,15.991465873020827,,,,,29
537,BRISTOL-MYERS SQUIBB CO,internal,2010-05-04,14911947.0,18221434.0,0.0734246761174794,0.341485390655168,29486000000.0,,,,28.0,2010,0,16.517673261716645,16.71810915141912,24.10718141137404,-0.20043588970247617,0.2680607145376886,28
959,CMS ENERGY CORP,internal,2010-05-21,,,,,,0.4146834848005198,-0.0465404817791064,0.3031369438945781,49.0,2010,0,,,,,,49
697,CATERPILLAR INC,internal,2010-06-01,,,0.0630834461626166,,56132000000.0,0.0173425790043548,0.0201353621773072,0.0011560181931368,35.0,2010,0,,,24.7509718968353,,,35
8661,GAMESTOP CORP,internal,2010-06-01,5875380.0,,0.0643005209776125,0.0761406978386777,4483494000.0,,,,57.0,2010,0,15.586281296753844,,22.223668490115266,,0.0118401768610652,57
5819,BIOGEN INC,internal,2010-06-08,9407601.0,,0.0752650875558188,0.1198804867671804,8478991000.0,2.4651916387201918,3.2555497087060496,-0.0153496107765154,28.0,2010,0,16.0570285375069,,22.860857293821788,,0.044615399211361595,28
4871,DEVON ENERGY CORP,external,2010-06-08,10587770.0,,0.113012410680707,-0.0752877577671819,31908000000.0,-0.7045135582997012,-0.6422484909836991,-0.2249706331560389,13.0,2010,1,16.17521011938824,,24.186122598995293,,-0.18830016844788888,13
4579,CELGENE CORP,internal,2010-06-16,,,0.0509379632733219,,4445270000.0,,,,28.0,2010,0,,,22.21510644647473,,,28
3017,QUESTAR CORP,internal,2010-06-30,,5507039.0,0.0587901328976792,0.1165816931467868,8630700000.0,,,,49.0,2010,0,,15.521537650115311,22.878591451150925,,0.05779156024910761,49
8877,MASTERCARD INC,external,2010-07-01,8344951.0,10331575.0,0.1676824150779303,0.1655539210139187,6475849000.0,0.9552378684557712,1.2821697007200832,-0.0245054162075196,73.0,2010,1,15.937167243281325,16.150715298011914,22.591345555627697,-0.21354805473058835,-0.00212849406401161,73
