transition_id,coname,classification,succ_total,succ_yeardist,pred_total,pred_yeardist,roa_pre,roa_post,tsr_raw,tsr_mktadj
900001,CONTINENTAL AIRLINES INC,internal,,,,,,,,
1323,FMC CORP,external,9762101.0,0.0,6159592.0,0.0,0.0442232539496977,0.097123907914036,1.2593512298402905,1.273841743866491
4158,DIRECTV,external,32932618.0,0.0,6070610.0,0.0,0.0877320273293427,0.0919644476691456,,
1184,DUN & BRADSTREET CORP,internal,,,,,,,,
8488,INTUITIVE SURGICAL INC,internal,5050593.0,0.0,4180542.0,0.0,0.0980161722581485,0.1128916394982593,0.5137212518207392,0.5282117658469397
6505,TRANSOCEAN LTD,internal,,,,,,,,
3370,STATE STREET CORP,internal,16187964.0,0.0,7994758.0,0.0,0.0072625280047917,-0.0117192610822092,,
1379,REGIONS FINANCIAL CORP,internal,6381475.0,0.0,9668729.0,0.0,0.0085539631311197,-0.0077898920295275,,
1593,GOODYEAR TIRE & RUBBER CO,internal,12223070.0,0.0,,,,-0.0239923224568138,-0.5147400178759516,-0.7108750153400187
1294,EQT CORP,internal,,,,,,,0.0706150856754808,-0.0497447771406265
3553,ANDEAVOR,external,8810598.0,0.0,,,,-0.0173482032218091,,
537,BRISTOL-MYERS SQUIBB CO,internal,14911947.0,0.0,18221434.0,0.0,0.0734246761174794,0.341485390655168,,
959,CMS ENERGY CORP,internal,,,,,,,0.614905356140131,0.4146838282419056
697,CATERPILLAR INC,internal,,,,,0.0630834461626166,,0.1942038253440206,0.0173435783033228
8661,GAMESTOP CORP,internal,5875380.0,0.0,,,0.0643005209776125,0.0761406978386777,,
5819,BIOGEN INC,internal,9407601.0,1.0,,,0.0752650875558188,0.1198804867671804,2.67199753190078,2.4651916387201918
4871,DEVON ENERGY CORP,external,10587770.0,2.0,,,0.113012410680707,-0.0752877577671819,-0.497707871241005,-0.704513764421594
4579,CELGENE CORP,internal,,,,,0.0509379632733219,,,
3017,QUESTAR CORP,internal,,,5507039.0,0.0,0.0587901328976792,0.1165816931467868,,
8877,MASTERCARD INC,external,8344951.0,0.0,10331575.0,0.0,0.1676824150779303,0.1655539210139187,1.2121038349201418,0.9552376590959932
2807,PAYCHEX INC,internal,3329388.0,0.0,,,,0.1020798652966726,0.4201183987447094,0.1632522229205608
477,BLOCK H & R INC,external,5673640.0,0.0,,,,0.0906153341535251,0.5165644005299406,0.2134605857439064
3477,TECO ENERGY INC,internal,5072801.0,0.0,,,,0.0296280905879908,,
1713,HP INC,external,30412776.0,0.0,,,0.0640954372590024,0.0667253199069678,-0.3548287907347495,-0.671446257720021
3167,HILLSHIRE BRANDS CO,internal,,,,,,,,
8707,LORILLARD INC,external,,,,,,,,
9121,WESTERN UNION CO,internal,,,,,,,-0.3254327571375873,-0.6036071390728851
1082,DTE ENERGY CO,internal,7389279.0,0.0,,,0.0394875965839772,0.0213688946015424,,
3949,WILMINGTON TRUST CORP,external,2547590.0,1.0,,,0.0099407654006015,0.0055848860083647,,
4804,OFFICE DEPOT INC,external,6816935.0,0.0,,,-0.3024199105748346,-0.1305335865228035,,
55,AETNA INC,internal,,,,,,,,
3252,SIGMA-ALDRICH CORP,internal,3915529.0,99.0,3625268.0,1.0,0.1216898102875024,0.1146349520977865,,
3304,SOUTHERN CO,internal,9754242.0,0.0,,,,,,
2859,PFIZER INC,internal,25013348.0,0.0,,,0.0732716738042969,0.0442788722860922,1.3208975915636936,0.2833549130408967
5656,CEPHALON INC,internal,,,11149392.0,0.0,,,,
8578,MASSEY ENERGY CO,internal,,,,,0.0256231793132406,,,
7253,SANDISK CORP,internal,12167844.0,0.0,4079099.0,0.0,,,,
3936,WILLIAMS COS INC,internal,6256635.0,0.0,,,0.0380681381219718,0.0114127823161941,2.8148620047827877,1.768518262350944
2345,MERCK & CO,internal,13347652.0,0.0,24572871.0,0.0,0.0695193831579322,0.1219406131535909,1.0101209023407836,0.0264763331564374
8078,REPUBLIC SERVICES INC,internal,14461336.0,0.0,,,0.0037768099773289,0.0253322620430597,0.5380921503607499,-0.4455524188235962
4830,CINCINNATI FINANCIAL CORP,internal,1456823.0,0.0,,,0.0297091412742382,0.028618747929778,1.3264016102935092,0.3427570411091631
2453,MOTOROLA SOLUTIONS INC,internal,10325173.0,0.0,8472266.0,1.0,-0.1522838996734723,0.0247487977479766,2.835697974412343,1.8610686455937269
2672,OCCIDENTAL PETROLEUM CORP,internal,,,,,0.16508173435732,0.0863976197741837,,
45,ADVANCED MICRO DEVICES,external,7298328.0,0.0,5549838.0,0.0,,0.0950746871215179,0.6230159458509774,-0.4940180146240849
10384,CAREFUSION CORP,external,9966612.0,0.0,16300289.0,0.0,,0.0245414294750158,,
1444,FLUOR CORP,internal,,,,,0.11147347281898,0.0469469067223469,1.0899444120666346,-0.0696189245149958
2007,SEARS HOLDINGS CORP,external,9932924.0,1.0,5320870.0,0.0,0.0021364076104482,0.0054597701149425,,
8253,REYNOLDS AMERICAN INC,internal,8652292.0,0.0,,,,,,
2331,CVS HEALTH CORP,internal,,,,,0.0524606299212598,,2.080460919175539,0.4272119654657431
7261,LEXMARK INTL INC -CL A,internal,3397490.0,0.0,,,0.0716117106910738,0.0934836403629364,,
8879,HOSPIRA INC,external,8781551.0,0.0,7839219.0,0.0,,,,
8882,ALPHABET INC,internal,,,,,,,,
3519,ALLEGHENY TECHNOLOGIES INC,internal,10172331.0,0.0,,,0.1356944178016497,0.015733487626847,0.7647768613805823,-0.5599259790327453
7360,IRON MOUNTAIN INC,internal,7408656.0,0.0,1420217.0,0.0,0.0119817422183742,,0.3197818061856428,-0.7946080284572907
2324,MEDTRONIC PLC,external,,,,,,,1.0815954542039885,-0.0684090379901434
2759,PG&E CORP,external,9949634.0,0.0,,,,,,
3284,KEYCORP,internal,6272426.0,0.0,,,-0.0157363834189115,0.0062397927577856,,
7974,QUANTA SERVICES INC,internal,3310876.0,0.0,2776586.0,0.0,,,0.5339130558314098,-0.6126819070016363
8462,METLIFE INC,internal,13669011.0,0.0,,,0.0059501514887431,0.0033495515092448,,
478,BLOCK H & R INC,external,,,,,-0.0575863822787823,0.0909082286741005,1.3602173166965152,0.2959771302692773
1707,HERSHEY CO,internal,,,,,0.084735339647475,,2.0864147762910306,1.0221745898637926
6275,COMPUWARE CORP,internal,,,,,0.0693613798070356,0.0495682197959159,,
3435,SUNTRUST BANKS INC,internal,,,,,,,,
7137,DISH NETWORK CORP,external,,,,,,,,
2767,SEMPRA ENERGY,internal,12203902.0,0.0,10218288.0,0.0,0.0390361952861952,0.0234527471800469,,
9173,COVIDIEN PLC,internal,,,,,,,,
2569,NEWELL BRANDS INC,external,,,11904601.0,0.0,-0.0081414716916514,0.047525523868266,1.885307183447736,0.8054443250082537
649,CAMPBELL SOUP CO,internal,8708442.0,1.0,,,0.1923712021136063,0.1229962110171961,0.6159435865224838,-0.3392049553536123
419,VERIZON COMMUNICATIONS INC,internal,14049100.0,99.0,18166006.0,0.0,-0.0096647525197547,0.0110604397273291,1.166018443973714,0.2459182923339531
7959,VERISIGN INC,internal,5856877.0,0.0,4564800.0,0.0,-0.1515097905223339,0.4476761131334855,2.0764526809509944,1.1563525293112336
2618,XCEL ENERGY INC,internal,,,,,,0.0256238654245493,,
245,APPLE INC,internal,4174992.0,0.0,,,0.1691686710348069,0.1204165986371175,3.4109600657279824,2.4721356768026648
1714,HP INC,external,15362142.0,0.0,,,0.0734926895553732,,-0.1944151679717261,-1.0597842360811234
5724,AES CORP,internal,,,7868720.0,0.0,0.0354536574153881,0.0002221618819579,-0.01488329784223,-0.880674080995122
413,BECTON DICKINSON & CO,internal,9183033.0,1.0,,,,,0.8221885584221611,-0.0436022247307308
1497,TEGNA INC,internal,5529291.0,0.0,6392684.0,0.0,-0.9299333056536034,0.0862864105442342,,
125,BEAM INC,internal,7998980.0,0.0,11238540.0,0.0,0.0251483355698187,0.0650844923783336,,
6097,BOSTON SCIENTIFIC CORP,internal,7059474.0,0.0,,,,,0.1269685020892601,-0.5915329698235394
9131,FIRST SOLAR INC,external,11767359.0,0.0,,,0.1647338238507223,0.1516301125718341,-0.6355653102203445,-1.476870006749838
227,NABORS INDUSTRIES LTD,internal,19734569.0,0.0,,,0.0452311816266727,0.0081307207298561,,
1801,ITT INC,internal,4773322.0,0.0,,,,,1.751594365717252,0.8165203021821172
307,AUTOMATIC DATA PROCESSING,internal,6337755.0,1.0,,,0.0520636712956721,0.0450968275122663,1.5795811129177362,0.7206868639743824
142,AMERICAN ELECTRIC POWER CO,internal,7286490.0,0.0,9026114.0,0.0,0.0286051129312484,0.0232464622867319,1.3080018045482356,0.4512321478510537
2829,PPL CORP,internal,11374189.0,0.0,,,0.0419580419580419,0.021993997373851,,
14,AMERICAN AIRLINES GROUP INC,internal,,,,,,,,
3174,SCANA CORP,internal,,,4997410.0,0.0,,,,
1026,CUMMINS INC,internal,13159687.0,0.0,9111727.0,0.0,0.0886254255194271,,2.4513212369141937,1.6049397936163532
2268,MATTEL INC,internal,17261771.0,0.0,,,0.0794125368288828,0.1207522412396559,0.8435002912520646,-0.0028811520457758
10467,AVALONBAY COMMUNITIES INC,internal,3832343.0,0.0,4317909.0,0.0,0.0551768295585513,0.0207794029748691,1.3720944534096189,0.5257130101117784
2172,RANGE RESOURCES CORP,internal,7573775.0,0.0,7961843.0,0.0,-0.0097737291884157,-0.0409301561722154,0.0297713040627467,-0.7874556088756786
6644,COSTCO WHOLESALE CORP,internal,4810773.0,0.0,3335865.0,0.0,0.0494108012193457,0.0547134159143397,1.709765722501925,0.8925388095634996
330,BAKER HUGHES INC,internal,,,,,,,,
1881,INTL BUSINESS MACHINES CORP,internal,16184727.0,99.0,31798918.0,0.0,,,0.3328783268175594,-0.4843485861208658
6682,URBAN OUTFITTERS INC,internal,4123161.0,0.0,2513118.0,0.0,0.122549421201669,0.1030769342052769,0.0848609981603278,-0.697916463882273
2372,MICRON TECHNOLOGY INC,internal,,,,,-0.1280882052678146,0.0116554997208263,2.191929935087245,1.3603026730335313
3407,STRYKER CORP,internal,8436919.0,0.0,9542856.0,0.0,0.1220372616029103,0.1107360447884077,0.9398331870221032,-0.0052715593661178
2399,3M CO,internal,,,,,,0.1354693825910931,1.3852252970564911,0.4711794797131052
3426,SUNOCO INC,internal,,,8217113.0,0.0,-0.0276586801176965,,,
2784,PALL CORP,external,,,,,0.0652234653635688,0.0976037737716927,,
1242,EL PASO ELECTRIC CO,external,,,4361803.0,0.0,0.0283042804235175,0.0387924542440194,,
3697,UNION PACIFIC CORP,internal,17809887.0,0.0,,,0.0438637207575194,0.0698152821665641,2.9424272905991318,2.0490437192837705
920,DXC TECHNOLOGY COMPANY,external,,,,,,,0.3460595297335656,-0.4551905569596131
6629,MARRIOTT INTL INC,internal,9158620.0,0.0,10094513.0,0.0,-0.0385171991539574,0.0312204351939451,1.912618754685934,1.144330103290225
443,BEST BUY CO INC,external,19550692.0,0.0,5029500.0,0.0,0.0719593487050595,-0.0769134645423305,-0.015769055210946,-0.7666334776175435
319,AVON PRODUCTS,external,13037613.0,99.0,13166884.0,99.0,0.091713808365331,0.0663994828700711,,
1977,JOHNSON & JOHNSON,internal,16910960.0,0.0,26797939.0,0.0,0.0478021165585855,0.0851078807504135,0.8378434260757657,0.0906466469875206
8860,GENWORTH FINANCIAL INC,external,11986064.0,0.0,,,-0.0040927087503892,0.0003353572437164,-0.4786477079688706,-1.2322534354632926
8757,CME GROUP INC,internal,4149354.0,0.0,,,0.0235632495484518,0.0466328042981535,0.7063715635490648,-0.0472341639453572
7668,QUEST DIAGNOSTICS INC,external,,,,,0.0854998399320796,0.0507324429125377,0.356659590552058,-0.3969461369423641
4082,ANADARKO PETROLEUM CORP,internal,,,23170041.0,0.0,-0.0026183595492542,-0.0503717507463538,,
2874,ALTRIA GROUP INC,internal,20139967.0,0.0,11842304.0,0.0,0.085717341318646,0.0959551643126043,2.180176683090394,1.31312117456177
195,AMGEN INC,internal,,,18850311.0,0.0,0.1058961504852136,0.0678293859810674,2.3554496866917085,1.3752326604274625
2879,CONOCOPHILLIPS,internal,,,27713594.0,0.0,0.0290131328136297,0.081159041963062,1.0327487766110344,0.0604779866580333
